,url,address,neighborhood,rent,beds,baths,area,zip
168,https://www.renthop.com/listings/808-columbus-ave/06e/64475610,"808 Columbus Ave, Apt 06E","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3976,0,1.0,414_Sqft,10025
169,https://www.renthop.com/listings/808-columbus-ave/16k/64446139,"808 Columbus Avenue, Apt 16K","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5401,1,1.0,594_Sqft,10025
170,https://www.renthop.com/listings/avenue-a/4r/64485720,Avenue A,"East Village, Downtown Manhattan, Manhattan",5595,2,1.0,,
171,https://www.renthop.com/listings/524-west-50th-street/2c/60651024,"524 West 50th Street, Apt 2C","Hell's Kitchen, Midtown Manhattan, Manhattan",2895,1,1.0,660_Sqft,10019
172,https://www.renthop.com/listings/21-west-86th-street/3e/64460135,"21 West 86th Street, Apt 3E","Upper West Side, Upper Manhattan, Manhattan",5700,2,2.0,,10024
173,https://www.renthop.com/listings/west-58th-street/18a/63997758,West 58th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",4650,1,1.0,674_Sqft,
174,https://www.renthop.com/listings/avenue-b/1c/64459135,Avenue B,"Alphabet City, East Village, Downtown Manhattan, Manhattan",4995,2,1.0,,
175,https://www.renthop.com/listings/east-9th-street/9/64309326,East 9th Street,"East Village, Downtown Manhattan, Manhattan",5250,2,1.0,,
176,https://www.renthop.com/listings/avenue-a/4r/64485720,Avenue A,"East Village, Downtown Manhattan, Manhattan",5595,2,1.0,,
177,https://www.renthop.com/listings/1502-first-avenue/3c/64237374,"1502 First Avenue, Apt 3C","Upper East Side, Upper Manhattan, Manhattan",4995,3,1.0,,10075
178,https://www.renthop.com/listings/524-west-50th-street/2c/60651024,"524 West 50th Street, Apt 2C","Hell's Kitchen, Midtown Manhattan, Manhattan",2895,1,1.0,660_Sqft,10019
179,https://www.renthop.com/listings/21-west-86th-street/3e/64460135,"21 West 86th Street, Apt 3E","Upper West Side, Upper Manhattan, Manhattan",5700,2,2.0,,10024
180,https://www.renthop.com/listings/450-west-50th-street/3f/59967218,"450 West 50th Street, Apt 3F","Hell's Kitchen, Midtown Manhattan, Manhattan",7995,4,2.0,,10019
181,https://www.renthop.com/listings/808-columbus-ave/10h/64467027,"808 Columbus Ave, Apt 10H","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4686,0,1.0,598_Sqft,10025
182,https://www.renthop.com/listings/95-wall-street/1808/64311726,"95 Wall Street, Apt 1808","Financial District, Downtown Manhattan, Manhattan",3817,0,1.0,575_Sqft,10005
183,https://www.renthop.com/listings/95-wall-street/1908/63535009,"95 Wall Street, Apt 1908","Financial District, Downtown Manhattan, Manhattan",3882,0,1.0,575_Sqft,10005
184,https://www.renthop.com/listings/1654-third-avenue/11/64334455,"1654 Third Avenue, Apt 11","Upper East Side, Upper Manhattan, Manhattan",2700,1,1.0,,10128
185,https://www.renthop.com/listings/west-58th-street/18a/63997758,West 58th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",4650,1,1.0,674_Sqft,
186,https://www.renthop.com/listings/225-west-28th-st/14d/64464924,"225 West 28th Street, Apt #14D...","Chelsea, Midtown Manhattan, Manhattan",12923,2,2.0,,10001
187,https://www.renthop.com/listings/217-east-84th-street/4c/64482691,"217 East 84th Street, Apt 4C","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2900,1,1.0,,10028
188,https://www.renthop.com/listings/east-39th-street/12e/64347649,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan",3925,1,1.0,,
189,https://www.renthop.com/listings/east-39th-street/na/63550348,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan",5850,1,1.5,,
190,https://www.renthop.com/listings/east-28th-street/na/64465889,East 28th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",8250,3,2.0,,
191,https://www.renthop.com/listings/323-east-78th-street/1dd/63504792,"323 East 78th Street, Apt 1DD","Upper East Side, Upper Manhattan, Manhattan",7800,4,3.0,"1,625_Sqft",10075
